State;Year;valore_educazione;valore_poverta;violent_crime;population;violent_crime_rate;valore_urb;valore_disoc;valore_gini
Alabama;1980;56.5;21.2;17175.0;3881325;442.50352650190337;60.0;8.683;0.4393
Alaska;1980;82.5;9.6;1920.0;438869;437.4881798440993;64.3;9.542;0.3842
Arizona;1980;72.4;12.8;17768.0;2725962;651.8065915812473;83.8;6.617;0.4250
Arkansas;1980;55.5;21.5;7593.0;2284037;332.437696937484;51.6;7.533;0.4325
California;1980;73.5;11.0;210003.0;23644324;888.1751070574062;91.3;6.908;0.4456
Colorado;1980;78.6;8.6;14121.0;2896033;487.598034967143;80.6;5.883;0.4183
Connecticut;1980;70.3;8.3;12549.0;3171744;395.6498380701596;78.8;5.733;0.4542
Delaware;1980;68.6;11.8;2765.0;594779;464.8785515292235;70.6;7.55;0.4109
District of Columbia;1980;67.1;20.9;13212.0;635233;2079.866757551953;100.0;7.392;0.4901
Florida;1980;66.7;16.7;94156.0;9633870;977.3434767128892;84.3;5.983;0.4413
Georgia;1980;56.4;13.9;28620.0;5431039;526.9709902653985;62.4;6.308;0.4371
Hawaii;1980;73.8;8.5;2889.0;1011103;285.7275668255361;86.5;4.967;0.4024
Idaho;1980;73.7;14.7;2927.0;960309;304.7977265650952;54.0;7.55;0.4005
Illinois;1980;66.5;12.3;55654.0;11392481;488.5151882193176;83.3;8.133;0.4382
Indiana;1980;66.4;11.8;18705.0;5474534;341.67291681812554;64.2;9.617;0.4100
Iowa;1980;71.5;10.8;5729.0;2916690;196.42128577257097;58.6;5.992;0.3998
Kansas;1980;73.3;9.4;9108.0;2388998;381.2477030118904;66.7;4.467;0.4136
Kentucky;1980;53.1;19.3;9711.0;3653024;265.834552414657;50.9;7.967;0.4351
Louisiana;1980;57.7;20.3;25820.0;4214030;612.7151444104575;68.6;7.033;0.4518
Maine;1980;68.7;14.6;2172.0;1131572;191.9453645017728;47.5;7.492;0.4111
Maryland;1980;67.4;9.5;35732.0;4266122;837.5756717693494;80.3;6.45;0.4128
Massachusetts;1980;72.2;9.5;33078.0;5733250;576.95024636986;83.8;5.767;0.4433
